NPartida,Time,Apelido,Momento
162,Coritiba S.a.f. - PR,Bruno Gomes,8' (1ºT)
164,Corinthians - SP,Maycon,18' (1ºT)
164,Corinthians - SP,Roger Guedes,28' (2ºT)
164,Corinthians - SP,Yuri Alberto,16' (2ºT)
164,Vasco da Gama S.a.f. - RJ,Gabriel Pec,25' (2ºT)
165,Goiás - GO,Matheus Babi,32' (2ºT)
166,Atlético Mineiro - MG,Paulinho,32' (1ºT)
166,Flamengo - RJ,Wesley,42' (2ºT)
166,Flamengo - RJ,De Arrascaeta,34' (2ºT)
167,Internacional - RS,BUSTOS,15' (1ºT)
167,Cuiabá Saf - MT,Raniele,43' (1ºT)
167,Cuiabá Saf - MT,Deyverson,42' (2ºT)
168,Athletico Paranaense - PR,Pablo,32' (2ºT)
168,Athletico Paranaense - PR,Madson,41' (1ºT)
168,Athletico Paranaense - PR,Fernandinho,41' (2ºT)
168,Cruzeiro Saf - MG,Arthur Gomes,7' (1ºT)
168,Cruzeiro Saf - MG,Arthur Gomes,36' (1ºT)
168,Cruzeiro Saf - MG,Wesley Ribeiro Silva,36' (2ºT)
169,Red Bull Bragantino - SP,Luan Candido,23' (1ºT)
169,Red Bull Bragantino - SP,Bruninho,23' (2ºT)
169,Red Bull Bragantino - SP,Thiago Borbas,45+1' (2ºT)
170,America Saf - MG,Nicolas,38' (1ºT)
170,Palmeiras - SP,Artur,7' (2ºT)
170,Palmeiras - SP,Murilo,17' (1ºT)
170,Palmeiras - SP,Rony,25' (1ºT)
170,Palmeiras - SP,Rony,13' (2ºT)
171,Fluminense - RJ,John Kennedy,13' (2ºT)
171,Fluminense - RJ,Jhon Arias,14' (1ºT)
171,Palmeiras - SP,Gustavo Gomez,45+5' (2ºT)
172,Vasco da Gama S.a.f. - RJ,Vegetti,35' (2ºT)
173,Atlético Mineiro - MG,Hulk,4' (1ºT)
173,Atlético Mineiro - MG,Pavon,23' (2ºT)
174,Santos - SP,Marcos Leonardo,45+5' (2ºT)
174,Athletico Paranaense - PR,Pablo,30' (1ºT)
175,Fortaleza - CE,Tobias,8' (1ºT)
177,Internacional - RS,Luiz Adriano,45+8' (2ºT)
177,Internacional - RS,Bruno,16' (1ºT)
177,Corinthians - SP,Fabio Santos,40' (2ºT)
177,Corinthians - SP,Renato Augusto,12' (1ºT)
178,Red Bull Bragantino - SP,Sorriso,18' (1ºT)
179,Bahia - BA,Everaldo,25' (1ºT)
179,Bahia - BA,Cauly,15' (2ºT)
179,Bahia - BA,Rafael Ratão,25' (2ºT)
179,America Saf - MG,Gonzalo Mastriani,7' (2ºT)
180,Cuiabá Saf - MT,Deyverson,35' (2ºT)
180,Cuiabá Saf - MT,Matheus Alexandre,1' (2ºT)
180,Cuiabá Saf - MT,Clayson,9' (2ºT)
181,Flamengo - RJ,Pedro,45+6' (2ºT)
181,São Paulo - SP,Lucas,37' (1ºT)
182,Botafogo - RJ,Joao Victor,9' (2ºT)
182,Botafogo - RJ,Luis Henrique,27' (2ºT)
182,Internacional - RS,Mauricio,17' (1ºT)
182,Internacional - RS,Nicolas Hernandez,12' (2ºT)
183,Palmeiras - SP,Lopez,45+5' (2ºT)
184,Corinthians - SP,Yuri Alberto,8' (2ºT)
184,Corinthians - SP,Wesley,21' (2ºT)
184,Corinthians - SP,Gil,6' (2ºT)
184,Corinthians - SP,Murillo,27' (1ºT)
185,Red Bull Bragantino - SP,Gustavinho,45+7' (1ºT)
185,Vasco da Gama S.a.f. - RJ,Vegetti,31' (1ºT)
186,Atlético Mineiro - MG,Paulinho,3' (2ºT)
187,Grêmio - RS,Bitello,24' (1ºT)
187,Grêmio - RS,Ferreira,45' (1ºT)
187,Fluminense - RJ,German Cano,19' (1ºT)
188,Athletico Paranaense - PR,Canobbio,44' (1ºT)
188,Athletico Paranaense - PR,Zapelli,37' (2ºT)
189,Fortaleza - CE,Bruno Pacheco,45' (2ºT)
189,Fortaleza - CE,Caio,37' (2ºT)
189,Fortaleza - CE,Machuca,13' (2ºT)
189,Santos - SP,Joao,35' (2ºT)
190,Goiás - GO,Halter,34' (1ºT)
191,Fluminense - RJ,German Cano,19' (2ºT)
191,Fluminense - RJ,John Kennedy,12' (2ºT)
191,Fluminense - RJ,Jhon Arias,43' (2ºT)
191,America Saf - MG,Felipe Azevedo,7' (2ºT)
