NPartida,Time,Substituido,Substituto
44,Santos - SP,Ângelo,Ed Carlos
44,Santos - SP,Dodi,Vinicius
44,Santos - SP,Mendoza,Lucas
44,Santos - SP,Camacho,Alison
44,Santos - SP,Lucas Lima,Daniel Ruiz
44,Bahia - BA,Cicinho,Cauly
44,Bahia - BA,Arthur Sales,Diego Rosa
44,Bahia - BA,Acevedo,Mingotti
44,Bahia - BA,Thaciano,Yago Felipe
44,Bahia - BA,Biel,Daniel
45,Red Bull Bragantino - SP,Evangelista,Jadsom Silva
45,Red Bull Bragantino - SP,Bruninho,Gustavinho
45,Red Bull Bragantino - SP,Helinho,Sorriso
45,Red Bull Bragantino - SP,J. Capixaba,Guilherme
45,Red Bull Bragantino - SP,Eduardo Sasha,Thiago Borbas
45,America Saf - MG,Everaldo,Emmanuel Martinez
45,America Saf - MG,Felipe Azevedo,MIKAEL
45,America Saf - MG,Nicolas,Danilo
45,America Saf - MG,Ale,Renato
45,America Saf - MG,Marcinho,Iago
46,Cruzeiro Saf - MG,Neto,Wallisson
46,Cruzeiro Saf - MG,Luciano Castan,Nikao
46,Cruzeiro Saf - MG,Gilberto,Henrique Dourado
46,Cruzeiro Saf - MG,Filipe Machado,Daniel JR
46,Cruzeiro Saf - MG,Wesley Ribeiro Silva,Stênio
46,Fluminense - RJ,Felipe Melo,Manoel
46,Fluminense - RJ,Jhon Arias,Isaac
46,Fluminense - RJ,Marcelo,Thiago Santos
46,Fluminense - RJ,PH GANSO,Lelê
46,Fluminense - RJ,German Cano,David Braz
47,Internacional - RS,Gabriel  Baralhas,Estevao
47,Internacional - RS,Rene,THAUAN LARA
47,Internacional - RS,WANDERSON,Lucca
47,Internacional - RS,BUSTOS,Igor Gomes
47,Internacional - RS,Luiz Adriano,Gabriel Barros
47,Athletico Paranaense - PR,Hugo Moura,Christian
47,Athletico Paranaense - PR,Vitor Roque,Willian
47,Athletico Paranaense - PR,Alex Santana,Vitor Bueno
47,Athletico Paranaense - PR,Pablo,Matheus Felipe
47,Athletico Paranaense - PR,Thiago,Canobbio
48,Vasco da Gama S.a.f. - RJ,Rodrigo,Figueiredo
48,Vasco da Gama S.a.f. - RJ,Andrey Santos,Matias Galarza
48,Vasco da Gama S.a.f. - RJ,Gabriel Pec,Orellano
48,Vasco da Gama S.a.f. - RJ,Pedro Raul,Barros
48,Vasco da Gama S.a.f. - RJ,Alex Teixeira,Erick Marcus
49,Fortaleza - CE,Welison,Zanocelo
49,Fortaleza - CE,Pochettino,Thiago Galhardo
49,Fortaleza - CE,Lucas Crispim,Bruno Pacheco
49,Fortaleza - CE,Silvio Romero,Brayan Ceballos
49,Fortaleza - CE,Guilherme Augusto,Calebe
49,São Paulo - SP,Patryck,Caio Paulista
49,São Paulo - SP,Wellington Rato,Gabriel Neves
49,São Paulo - SP,Rai,Rafinha
49,São Paulo - SP,Marcos Paulo,Luciano
49,São Paulo - SP,Calleri,Juan
50,Cuiabá Saf - MT,Cafu,Emerson
50,Cuiabá Saf - MT,Filipe Augusto,Raniele
50,Cuiabá Saf - MT,PITTA,Deyverson
50,Cuiabá Saf - MT,Ronald,Pablo Ceppelini Gatto
50,Cuiabá Saf - MT,Denilson,Nicolas
50,Atlético Mineiro - MG,Bruno Fuchs,Rever
50,Atlético Mineiro - MG,Vargas,Paulinho
50,Atlético Mineiro - MG,Zaracho,Edenilson
50,Atlético Mineiro - MG,Hyoran,Rubens
50,Atlético Mineiro - MG,Rodrigo Battaglia,Vitinho
51,Fluminense - RJ,Thiago Santos,Giovanni
51,Fluminense - RJ,Felipe Melo,Manoel
51,Fluminense - RJ,PH GANSO,Gabriel Pirani
51,Fluminense - RJ,John Kennedy,Lelê
51,Fluminense - RJ,Marcelo,David Braz
51,Cuiabá Saf - MT,Fernando,Pablo Ceppelini Gatto
51,Cuiabá Saf - MT,Cafu,Iury
51,Cuiabá Saf - MT,Denilson,Ronald
51,Cuiabá Saf - MT,Deyverson,PITTA
51,Cuiabá Saf - MT,Wellington Silva,Nicolas
52,Vasco da Gama S.a.f. - RJ,Puma Rodriguez,Paulo Henrique
52,Vasco da Gama S.a.f. - RJ,Matias Galarza,Alex Teixeira
52,Vasco da Gama S.a.f. - RJ,Gabriel Pec,Orellano
52,Vasco da Gama S.a.f. - RJ,Figueiredo,Rodrigo
52,Vasco da Gama S.a.f. - RJ,Barros,Erick Marcus
52,Santos - SP,Ângelo,Daniel Ruiz
52,Santos - SP,Deivid Washington,Alison
52,Santos - SP,Lucas,Ed Carlos
52,Santos - SP,Lucas Lima,Lucas
53,Palmeiras - SP,Fabinho,Richard Rios
53,Palmeiras - SP,Dudu,Breno
53,Palmeiras - SP,Artur,Bruno
53,Palmeiras - SP,Raphael Veiga,Lopez
53,Palmeiras - SP,Rony,Endrick
53,Red Bull Bragantino - SP,Bruninho,Vitinho
53,Red Bull Bragantino - SP,Andres Hurtado,Aderlan
53,Red Bull Bragantino - SP,Evangelista,Alerrandro
53,Red Bull Bragantino - SP,Natan,Léo Realpe
53,Red Bull Bragantino - SP,Helinho,Henry Mosquera
54,Corinthians - SP,Giuliano,Matheus Araujo
54,Corinthians - SP,Maycon,Roni
54,Corinthians - SP,Wesley,Adson
