Clube,Camisa,Apelido
Athletico Paranaense - PR,8,Vitor Bueno
Athletico Paranaense - PR,19,Thiago
Athletico Paranaense - PR,35,Romulo
Athletico Paranaense - PR,34,Pedro Henrique
Athletico Paranaense - PR,22,Madson
Athletico Paranaense - PR,26,Erick
Athletico Paranaense - PR,88,Christian
Athletico Paranaense - PR,28,Cuello
Athletico Paranaense - PR,9,Vitor Roque
Athletico Paranaense - PR,44,Thiago Heleno
Athletico Paranaense - PR,48,Pedrinho
Athletico Paranaense - PR,92,Pablo
Athletico Paranaense - PR,18,Cittadini
Athletico Paranaense - PR,17,Hugo Moura
Fluminense - RJ,22,Pedro Rangel
Fluminense - RJ,23,Guga
Fluminense - RJ,37,Giovanni
Fluminense - RJ,26,Manoel
Fluminense - RJ,32,Isaac
Fluminense - RJ,18,Alan
Fluminense - RJ,44,David Braz
Athletico Paranaense - PR,23,Leo Linck
Athletico Paranaense - PR,14,Canobbio
Athletico Paranaense - PR,42,Matheus Felipe
Athletico Paranaense - PR,3,Ze Ivaldo
Athletico Paranaense - PR,10,David Terans
Athletico Paranaense - PR,2,Khellven
Athletico Paranaense - PR,6,Fernando
Fortaleza - CE,16,Fernando Miguel
Fortaleza - CE,4,Christian
Fortaleza - CE,6,Bruno Pacheco
Fortaleza - CE,8,Caio
Fortaleza - CE,35,HERCULES
Fortaleza - CE,9,Lucero
Fortaleza - CE,18,Silvio Romero
Fortaleza - CE,19,Britez
Fortaleza - CE,21,Moises
Fortaleza - CE,29,Guilherme Augusto
Fortaleza - CE,27,Calebe
Fortaleza - CE,22,Yago
Fortaleza - CE,88,Lucas
Fortaleza - CE,91,Thiago Galhardo
Fortaleza - CE,7,Pochettino
Fortaleza - CE,2,Guilherme
Internacional - RS,31,John
Internacional - RS,10,Alan Patrick
Internacional - RS,14,Carlos de Pena
Internacional - RS,28,Pedro
Internacional - RS,38,Jean Dias
Internacional - RS,6,Rene
Internacional - RS,4,Moledo
Internacional - RS,11,WANDERSON
Internacional - RS,45,Lucca
Internacional - RS,44,Vitão
Internacional - RS,35,Alexandre
Internacional - RS,33,Gabriel  Baralhas
Internacional - RS,21,Igor Gomes
Internacional - RS,40,Romulo
Internacional - RS,30,Joao Lucas
Internacional - RS,17,Gustavo
Fortaleza - CE,30,Mauricio Kozlinski
Fortaleza - CE,3,Brayan Ceballos
Fortaleza - CE,5,Marcelo
Fortaleza - CE,25,Zanocelo
Fortaleza - CE,11,Romarinho
Fortaleza - CE,13,Lucas Esteves
Fortaleza - CE,17,Welison
Internacional - RS,1,Keiller
Internacional - RS,36,THAUAN LARA
Internacional - RS,15,Lucas Ramos
Internacional - RS,12,Emerson Junior
Internacional - RS,41,Matheus
Internacional - RS,22,Nicolas Hernandez
Internacional - RS,26,Estevao
Goiás - GO,23,Tadeu
Goiás - GO,2,Magno Jose
Goiás - GO,6,Sander
Goiás - GO,3,Halter
Goiás - GO,19,Bruno
Goiás - GO,5,Zé Ricardo
Goiás - GO,22,Apodi
Goiás - GO,20,Jackson
Goiás - GO,40,Morelli
Goiás - GO,10,Julian
Goiás - GO,77,Jhonny
Goiás - GO,7,Vinicius
Goiás - GO,17,Matheus Peixoto
Goiás - GO,30,Matheus
Corinthians - SP,12,Cássio
Corinthians - SP,20,Giuliano
Corinthians - SP,15,Paulinho
Corinthians - SP,10,Roger Guedes
Corinthians - SP,31,Balbuena
Corinthians - SP,18,Aluisio
Corinthians - SP,6,Fabio Santos
Corinthians - SP,4,Gil
Corinthians - SP,25,Bruno Mendez
Corinthians - SP,29,Roni
Corinthians - SP,5,Fausto
Corinthians - SP,7,Maycon
Corinthians - SP,9,Yuri Alberto
Corinthians - SP,77,Chrystian
Corinthians - SP,27,Pedrinho
Corinthians - SP,37,Eduardo Santos Queiroz
Goiás - GO,88,Rangel
Goiás - GO,43,Edu
Goiás - GO,66,Hugo
Goiás - GO,60,Guilherme
Goiás - GO,12,Willian Oliveira
Goiás - GO,4,Sidimar
Goiás - GO,90,Philippe
Goiás - GO,8,Fellipe Bastos
Goiás - GO,27,Alesson
Corinthians - SP,22,Carlos
Corinthians - SP,30,Matheus Araujo
Corinthians - SP,21,Matheus Bidu
Corinthians - SP,28,Adson
Corinthians - SP,11,Angel Romero
Corinthians - SP,34,Murillo
Corinthians - SP,24,Cantillo
Grêmio - RS,31,Adriel
Grêmio - RS,6,Diogo Barbosa
Grêmio - RS,39,Bitello
Grêmio - RS,9,Suarez
Grêmio - RS,11,Vina
Grêmio - RS,13,Galdino
Grêmio - RS,19,Cristaldo
Grêmio - RS,7,Nathan
Grêmio - RS,18,Joao Pedro
Grêmio - RS,58,Thomas Luciano
Grêmio - RS,4,Kannemann
Grêmio - RS,20,Villasanti
Grêmio - RS,37,Darlan
Grêmio - RS,48,Zinho
Grêmio - RS,77,Andre
Grêmio - RS,34,Bruno Alves
Santos - SP,34,Joao Paulo
Santos - SP,9,Marcos Leonardo
Santos - SP,24,Messias
Santos - SP,22,Nathan
Santos - SP,7,Daniel Ruiz
Santos - SP,11,Ângelo
Santos - SP,19,Dodi
Santos - SP,88,Bruno Mezenga
Santos - SP,4,Eduardo
Santos - SP,3,Felipe
Santos - SP,29,Camacho
Santos - SP,14,Rodrigo
Santos - SP,21,Lucas
Santos - SP,10,Yeferson Soteldo
Santos - SP,23,Lucas Lima
Santos - SP,47,Miguel
Grêmio - RS,1,Brenno
Grêmio - RS,59,Gabriel Silva
Grêmio - RS,17,Gustavo
Grêmio - RS,46,José Guilherme
Grêmio - RS,36,Nata
Grêmio - RS,15,Uvini
Grêmio - RS,45,Mila
Santos - SP,1,Vladimir
Santos - SP,5,Alison
Santos - SP,36,Deivid Washington
Santos - SP,12,Gabriel
Santos - SP,44,Lucas Pires
Santos - SP,33,Maicon
Santos - SP,6,Sandry
Internacional - RS,1,Keiller
Internacional - RS,21,Igor Gomes
Internacional - RS,6,Rene
Internacional - RS,11,WANDERSON
Internacional - RS,38,Jean Dias
Internacional - RS,28,Pedro
Internacional - RS,27,Mauricio
Internacional - RS,35,Alexandre
Internacional - RS,9,Luiz Adriano
Internacional - RS,25,Gabriel Mercado
Internacional - RS,17,Gustavo
Internacional - RS,33,Gabriel  Baralhas
Internacional - RS,30,Joao Lucas
Internacional - RS,14,Carlos de Pena
Internacional - RS,44,Vitão
Internacional - RS,10,Alan Patrick
Flamengo - RJ,1,Santos
Flamengo - RJ,20,Gerson
Flamengo - RJ,4,Leo Pereira
Flamengo - RJ,3,Rodrigo Caio
Flamengo - RJ,32,VIDAL
Flamengo - RJ,11,Everton
Flamengo - RJ,7,Éverton Ribeiro
Flamengo - RJ,42,Matheus França
Flamengo - RJ,15,Fabricio Bruno
Flamengo - RJ,9,Pedro
Flamengo - RJ,31,Marinho
Flamengo - RJ,8,Thiago Maia
Flamengo - RJ,6,Ayrton Lucas
Flamengo - RJ,10,Gabriel Barbosa
Flamengo - RJ,43,Wesley
Internacional - RS,31,John
Internacional - RS,40,Romulo
Internacional - RS,4,Moledo
Internacional - RS,22,Nicolas Hernandez
Internacional - RS,41,Matheus
Internacional - RS,45,Lucca
Internacional - RS,36,THAUAN LARA
Flamengo - RJ,25,Matheus Cunha
Flamengo - RJ,38,Andre
Flamengo - RJ,29,Victor Hugo
Flamengo - RJ,2,Varela
Flamengo - RJ,48,Igor Jesus
Flamengo - RJ,39,Zé Welinton
Flamengo - RJ,40,Matheus Gonçalves
Flamengo - RJ,30,Pablo
Palmeiras - SP,21,Weverton
Palmeiras - SP,26,Murilo
Palmeiras - SP,15,Gustavo Gomez
Palmeiras - SP,6,Vanderlan
Palmeiras - SP,9,Endrick
Palmeiras - SP,29,Rafael Navarro
Palmeiras - SP,8,Ze Rafael
Palmeiras - SP,35,Fabinho
Palmeiras - SP,7,Dudu
Palmeiras - SP,14,Artur
Palmeiras - SP,19,Breno
Palmeiras - SP,18,Lopez
Palmeiras - SP,31,Luis Guilherme
Palmeiras - SP,25,Gabriel Menino
Palmeiras - SP,27,Richard Rios
Palmeiras - SP,2,Marcos Rocha
Cuiabá Saf - MT,1,Walter
Cuiabá Saf - MT,94,Patric
Cuiabá Saf - MT,2,Matheus Alexandre
Cuiabá Saf - MT,7,Cafu
Cuiabá Saf - MT,25,Nicolas
Cuiabá Saf - MT,14,Raniele
Cuiabá Saf - MT,34,Allyson
Cuiabá Saf - MT,16,Deyverson
Cuiabá Saf - MT,88,Fernando
Cuiabá Saf - MT,17,Emerson
Cuiabá Saf - MT,9,PITTA
Cuiabá Saf - MT,4,Marllon
Cuiabá Saf - MT,10,Pablo Ceppelini Gatto
Cuiabá Saf - MT,28,Rafael Gava
Cuiabá Saf - MT,5,Filipe Augusto
Cuiabá Saf - MT,98,Matheusinho
Palmeiras - SP,42,Marcelo Lomba
Palmeiras - SP,32,Gustavo Garcia
Palmeiras - SP,40,Jhon Jhon
Palmeiras - SP,51,Kaique
Palmeiras - SP,17,Giovani
Palmeiras - SP,34,Kaiky
Palmeiras - SP,13,Luan Garcia
Cuiabá Saf - MT,21,Joao Carlos
Cuiabá Saf - MT,33,ALAN
Cuiabá Saf - MT,30,JOÃO
Cuiabá Saf - MT,26,Vinicius
Cuiabá Saf - MT,8,Ronald
Cuiabá Saf - MT,27,Denilson
Cuiabá Saf - MT,3,Victor Matheus
Red Bull Bragantino - SP,40,Lucão
Red Bull Bragantino - SP,17,Bruninho
Red Bull Bragantino - SP,29,J. Capixaba
Red Bull Bragantino - SP,4,Natan
Red Bull Bragantino - SP,13,Aderlan
Red Bull Bragantino - SP,9,Alerrandro
Red Bull Bragantino - SP,19,Eduardo Sasha
Red Bull Bragantino - SP,2,Léo Realpe
Red Bull Bragantino - SP,26,Eduardo
Red Bull Bragantino - SP,21,Talisson
Red Bull Bragantino - SP,16,Henry Mosquera
Red Bull Bragantino - SP,35,Matheus Fernandes
Red Bull Bragantino - SP,44,Nacho Laquintana
Red Bull Bragantino - SP,11,Helinho
Red Bull Bragantino - SP,5,Jadsom Silva
Red Bull Bragantino - SP,8,Evangelista
Red Bull Bragantino - SP,1,Cleiton
Red Bull Bragantino - SP,22,Gustavinho
Red Bull Bragantino - SP,31,Guilherme
Red Bull Bragantino - SP,27,Sorriso
Red Bull Bragantino - SP,7,Eric Ramires
Red Bull Bragantino - SP,18,Thiago Borbas
Red Bull Bragantino - SP,43,Everton
Santos - SP,34,Joao Paulo
Santos - SP,11,Ângelo
Santos - SP,47,Miguel
Santos - SP,7,Daniel Ruiz
Santos - SP,97,Luan
Santos - SP,19,Dodi
Santos - SP,4,Eduardo
Santos - SP,23,Lucas Lima
Santos - SP,9,Marcos Leonardo
Santos - SP,88,Bruno Mezenga
Santos - SP,24,Messias
Santos - SP,22,Nathan
Santos - SP,12,Gabriel
Santos - SP,44,Lucas Pires
Santos - SP,14,Rodrigo
Atlético Mineiro - MG,22,Everson
Atlético Mineiro - MG,10,Paulinho
Atlético Mineiro - MG,3,Bruno Fuchs
Atlético Mineiro - MG,5,Otavio
Atlético Mineiro - MG,7,Hulk
Atlético Mineiro - MG,8,Edenilson
Atlético Mineiro - MG,9,Pavon
Atlético Mineiro - MG,15,Zaracho
Atlético Mineiro - MG,44,Rubens
Atlético Mineiro - MG,11,Vargas
Atlético Mineiro - MG,20,Hyoran
Atlético Mineiro - MG,49,Patrick
Atlético Mineiro - MG,26,Renzo Saravia
Atlético Mineiro - MG,25,Mariano
Atlético Mineiro - MG,28,Muricio Lemos
