Clube,Nome,Apelido,Camisa
Goiás - GO,Denzel Nogueira Damasceno,DENZEL,0
Cuiabá Saf - MT,Derik Gean Severino Lacerda,DERIK,0
Cuiabá Saf - MT,Deyverson Brum Silva,Deyverson,16
Botafogo - RJ,Diego da Silva Costa,Diego Costa,0
Flamengo - RJ,Diego Damasceno dos Santos,Diego Santos,0
Sport - PE,Diego de Souza Andrade,Diego Souza,0
Atlético Mineiro - MG,Diego Fernandes Simoes,Diego Fernandes,0
Bahia - BA,Diego Gabriel Silva Rosa,Diego Rosa,0
Goiás - GO,Diego Goncalves,Diego,11
São Paulo - SP,Diego Henrique Costa Barbosa,Diego,4
Botafogo - RJ,Diego Manuel Hernandez Gonzalez,Diego Hernandez,0
Vasco da Gama S.a.f. - RJ,Dimitri Payet,Payet,0
Santos - SP,Diogenes Vinicius da Silva,Diogenes,0
Fluminense - RJ,Diogo Barbosa Mendanha,Diogo Barbosa,0
Coritiba S.a.f. - PR,Diogo Batista de Souza,Diogo Batista,0
Coritiba S.a.f. - PR,Diogo de Oliveira Barbosa,Diogo,0
Cruzeiro Saf - MG,Dorival Silva de Oliveira,DORIVAL,0
Guarani - SP,Douglas Borges,Douglas,0
Santos - SP,Douglas Moreira Fagundes,Dodi,19
Cuiabá Saf - MT,Dyego Luis da Paz Nascimento,Dyego,0
Botafogo - RJ,Dylan Antonio Talero Arredondo,Dylan,0
Coritiba S.a.f. - PR,Eberth Araujo Nogueira,Eberth,0
Santos - SP,Ed Carlos de Arruda Amorim,Ed Carlos,0
Atlético Mineiro - MG,Edenilson Andrade dos Santos,Edenilson,8
America Saf - MG,Eder Ferreira Graminho,Eder,33
Avaí - SC,Eder Maciel Lopes,Edinho,0
Bahia - BA,Edivan Vitor da Silva Junior,Juninho,0
Palmeiras - SP,Edney Henrique Santos da Silva,EDNEY,0
Palmeiras - SP,Eduard Andres Atuesta Velasco,Atuesta,0
Red Bull Bragantino - SP,Eduardo Colcenti Antunes,Eduardo Sasha,19
Botafogo - RJ,Eduardo Fernandes Rodrigues de Souza,Eduardo,0
,Eduardo Gabriel dos Santos Bauermann,Eduardo,0
Red Bull Bragantino - SP,Eduardo Gonzaga Mendes Santos,Eduardo,26
