Nome,Apelido,Clube
Francisco das Chagas Soares dos Santos,Tiquinho,Botafogo - RJ
Francisco Dyogo Bento Alves,Dyogo,Flamengo - RJ
Francisco Jose Freire de Freitas,Freitas,Fluminense - RJ
Francisco Vitor Silva Costa,Jacare,Bahia - BA
Franco Sebastian Cristaldo,Cristaldo,Grêmio - RS
Fransergio Rodrigues Barbosa,Fransergio,Coritiba S.a.f. - PR
Freddy Ariel Noguera Rolon,Freddy,Grêmio - RS
Gabriel Appelt Pires,Gabriel,Botafogo - RJ
Gabriel Atila Cardoso da Silva,Gabriel Átila,Atlético Mineiro - MG
Gabriel Baralhas dos Santos,Gabriel  Baralhas,Atlético - GO
Gabriel Barbosa Almeida,Gabriel Barbosa,Flamengo - RJ
Gabriel Boschilia,Gabriel,Coritiba S.a.f. - PR
Gabriel Caetano Godoy de Andrade,Caetano,Red Bull Bragantino - SP
Gabriel Carvalho Teixeira,Gabriel,Internacional - RS
Gabriel Cordeiro Pirani,Gabriel Pirani,
Gabriel da Silva Moyses,Gabriel,Red Bull Bragantino - SP
Gabriel de Sousa Barros,Gabriel Barros,Internacional - RS
Gabriel de Souza Inocencio,Gabriel,Santos - SP
Gabriel Delfim Ferreira,Gabriel Delfim,Atlético Mineiro - MG
Gabriel Dias de Oliveira,Gabriel Dias,Vasco da Gama S.a.f. - RJ
Gabriel dos Santos Silva,Gabriel (Vareta),Palmeiras - SP
Gabriel Fortes Chaves,Gabriel Pec,Vasco da Gama S.a.f. - RJ
Gabriel Girotto Franco,Gabriel,Internacional - RS
Gabriel Hamester Grando,Gabriel Grando,Grêmio - RS
Gabriel Henrique Soares da Silva,Gabriel,Corinthians - SP
Gabriel Ivan Mercado,Gabriel Mercado,Internacional - RS
Gabriel Jose Ferreira Mesquita,Gabriel Mesquita,Cruzeiro Saf - MG
Gabriel Lheman Xavier,Gabriel Xavier,Bahia - BA
Gabriel Neves Perdomo,Gabriel Neves,São Paulo - SP
Gabriel Novaes Fernandes,Gabriel Novaes,Goiás - GO
Gabriel Roberto Pereira,Gabriel Pereira,Athletico Paranaense - PR
Gabriel Silva Azevedo Figueredo,Gabriel Silva,Coritiba S.a.f. - PR
Gabriel Silva Moscardo de Salles,Moscardo,Corinthians - SP
Gabriel Teixeira Aragao,Biel,Bahia - BA
Gabriel Toebe Studt,GABRIEL,Botafogo - RJ
Gabriel Vasconcelos Ferreira,Gabriel,Coritiba S.a.f. - PR
Gabriel Vinicius Menino,Gabriel Menino,Palmeiras - SP
Gabryel Vinicius Araújo Freitas,Gabryel,Cuiabá Saf - MT
Gary Alexis Medel Soto,Medel,Vasco da Gama S.a.f. - RJ
Geilson de Souza Alves,Geilson,Fortaleza - CE
German Ezequiel Cano,German Cano,Fluminense - RJ
Gerson Santos da Silva,Gerson,Flamengo - RJ
Gilberto Junior Leite dos Santos,Gilberto,Palmeiras - SP
Gilberto Moraes Junior,Gilberto,Bahia - BA
Gilberto Oliveira Souza Junior,Gilberto,Cruzeiro Saf - MG
Giorgian Daniel de Arrascaeta Benedetti,De Arrascaeta,Flamengo - RJ
Giovane Santana do Nascimento,Giovane Nascimento,Corinthians - SP
Giovani Henrique Amorim da Silva,Giovani,
Giovanni Manson Ribeiro,Giovanni,Fluminense - RJ
Giuliano Galoppo,Galoppo,São Paulo - SP
Giuliano Victor de Paula,Giuliano,Corinthians - SP
Givanildo Vieira de Sousa,Hulk,Atlético Mineiro - MG
Glaybson Yago Souza Lisbôa,Yago,Fortaleza - CE
Gonzalo Daniel Escobar,Escobar,Fortaleza - CE
Gonzalo Mathias Mastriani Borges,Gonzalo Mastriani,America Saf - MG
Guilherme Antonio Arana Lopes,Guilherme Arana,Atlético Mineiro - MG
Guilherme Aquino Vargas dos Santos,Guilherme Aquino,Coritiba S.a.f. - PR
Guilherme Augusto Vieira dos Santos,Guilherme Augusto,Fortaleza - CE
Guilherme Batista da Silva Americo,Guilherme Batista,São Paulo - SP
Guilherme Costa Marques,Guilherme,Goiás - GO
Guilherme de Aguiar Camacho,Camacho,Santos - SP
Guilherme de Jesus da Silva,Guilherme,Fortaleza - CE
Guilherme de Jesus Lima,GUILHERME,Internacional - RS
Guilherme Lopes de Almeida,Guilherme,Red Bull Bragantino - SP
Guilherme Meira Ferreira Alves,Gui Meira,Cruzeiro Saf - MG
Guilherme Santos Brito,Guilherme Brito,Bahia - BA
Guilherme Sucigan Mafra Cunha,Guilherme Biro,Corinthians - SP
Guillermo Varela Olivera,Varela,Flamengo - RJ
Gustavo Abreu Dohmann,Dohmann,Fluminense - RJ
Gustavo Affonso Sauerbeck,Gustavo,
Gustavo Campanharo,Gustavo,Internacional - RS
