Numero,Mandante,Visitante,PontosMandante,PontosVisitante,Local,Data
59,Bahia - BA,Flamengo - RJ,2.0,3.0,Arena Fonte Nova - Salvador - BA,"Sábado, 13 de Maio de 2023 16:00"
60,America Saf - MG,Cruzeiro Saf - MG,0.0,4.0,Independência - Belo Horizonte - MG,"Domingo, 14 de Maio de 2023 18:30"
61,Flamengo - RJ,Corinthians - SP,1.0,0.0,Maracanã - Rio de Janeiro - RJ,"Domingo, 21 de Maio de 2023 16:00"
62,Botafogo - RJ,Fluminense - RJ,1.0,0.0,Nilton Santos - Rio de Janeiro - RJ,"Sábado, 20 de Maio de 2023 18:30"
63,São Paulo - SP,Vasco da Gama S.a.f. - RJ,4.0,2.0,Morumbi - Sao Paulo - SP,"Sábado, 20 de Maio de 2023 18:30"
64,Santos - SP,Palmeiras - SP,0.0,0.0,Vila Belmiro - Santos - SP,"Sábado, 20 de Maio de 2023 21:00"
65,Red Bull Bragantino - SP,Athletico Paranaense - PR,2.0,0.0,Nabi Abi Chedid - Braganca Paulista - SP,"Sábado, 20 de Maio de 2023 18:30"
66,Cruzeiro Saf - MG,Cuiabá Saf - MT,0.0,1.0,Arena do Jacaré - Sete Lagoas - MG,"Segunda, 22 de Maio de 2023 20:00"
67,Grêmio - RS,Internacional - RS,3.0,1.0,Arena do Grêmio - Porto Alegre - RS,"Domingo, 21 de Maio de 2023 18:30"
68,Coritiba S.a.f. - PR,Atlético Mineiro - MG,1.0,2.0,Couto Pereira - Curitiba - PR,"Sábado, 20 de Maio de 2023 18:30"
69,Bahia - BA,Goiás - GO,1.0,1.0,Arena Fonte Nova - Salvador - BA,"Sábado, 20 de Maio de 2023 16:00"
70,America Saf - MG,Fortaleza - CE,2.0,1.0,Independência - Belo Horizonte - MG,"Sábado, 20 de Maio de 2023 18:30"
71,Flamengo - RJ,Cruzeiro Saf - MG,1.0,1.0,Maracanã - Rio de Janeiro - RJ,"Sábado, 27 de Maio de 2023 18:30"
72,Botafogo - RJ,America Saf - MG,2.0,0.0,Nilton Santos - Rio de Janeiro - RJ,"Domingo, 28 de Maio de 2023 19:00"
73,São Paulo - SP,Goiás - GO,2.0,1.0,Morumbi - Sao Paulo - SP,"Sábado, 27 de Maio de 2023 21:00"
74,Corinthians - SP,Fluminense - RJ,2.0,0.0,Neo Química Arena - Sao Paulo - SP,"Domingo, 28 de Maio de 2023 16:00"
75,Red Bull Bragantino - SP,Santos - SP,2.0,0.0,Nabi Abi Chedid - Braganca Paulista - SP,"Domingo, 28 de Maio de 2023 18:30"
76,Atlético Mineiro - MG,Palmeiras - SP,1.0,1.0,Mineirão - Belo Horizonte - MG,"Domingo, 28 de Maio de 2023 18:30"
77,Internacional - RS,Bahia - BA,2.0,0.0,Beira-Rio - Porto Alegre - RS,"Domingo, 28 de Maio de 2023 16:00"
78,Athletico Paranaense - PR,Grêmio - RS,1.0,2.0,Ligga Arena - Curitiba - PR,"Sábado, 27 de Maio de 2023 16:00"
79,Fortaleza - CE,Vasco da Gama S.a.f. - RJ,2.0,0.0,Arena Castelão - Fortaleza - CE,"Sábado, 27 de Maio de 2023 16:00"
80,Cuiabá Saf - MT,Coritiba S.a.f. - PR,1.0,1.0,Arena Pantanal - Cuiaba - MT,"Sábado, 27 de Maio de 2023 18:30"
