NPartida,Time,Camisa,Apelido,href
4,Corinthians - SP,30,Matheus Araujo,https://www.cbf.com.br/futebol-brasileiro/atletas/545392?exercicio=2023
4,Corinthians - SP,4,Gil,https://www.cbf.com.br/futebol-brasileiro/atletas/178854?exercicio=2023
4,Corinthians - SP,10,Roger Guedes,https://www.cbf.com.br/futebol-brasileiro/atletas/389307?exercicio=2023
4,Corinthians - SP,29,Roni,https://www.cbf.com.br/futebol-brasileiro/atletas/387432?exercicio=2023
4,Corinthians - SP,24,Cantillo,https://www.cbf.com.br/futebol-brasileiro/atletas/691641?exercicio=2023
4,Corinthians - SP,25,Bruno Mendez,https://www.cbf.com.br/futebol-brasileiro/atletas/648335?exercicio=2023
4,Cruzeiro Saf - MG,1,Rafael Cabral,https://www.cbf.com.br/futebol-brasileiro/atletas/292253?exercicio=2023
4,Cruzeiro Saf - MG,4,Luciano Castan,https://www.cbf.com.br/futebol-brasileiro/atletas/292282?exercicio=2023
4,Cruzeiro Saf - MG,3,Marlon,https://www.cbf.com.br/futebol-brasileiro/atletas/364054?exercicio=2023
4,Cruzeiro Saf - MG,7,Mateus,https://www.cbf.com.br/futebol-brasileiro/atletas/405246?exercicio=2023
4,Cruzeiro Saf - MG,31,Bilu,https://www.cbf.com.br/futebol-brasileiro/atletas/387443?exercicio=2023
4,Cruzeiro Saf - MG,9,Bruno Rodrigues,https://www.cbf.com.br/futebol-brasileiro/atletas/404399?exercicio=2023
4,Cruzeiro Saf - MG,11,Wesley Ribeiro Silva,https://www.cbf.com.br/futebol-brasileiro/atletas/517179?exercicio=2023
4,Cruzeiro Saf - MG,10,Nikao,https://www.cbf.com.br/futebol-brasileiro/atletas/306616?exercicio=2023
4,Cruzeiro Saf - MG,21,Gilberto,https://www.cbf.com.br/futebol-brasileiro/atletas/185444?exercicio=2023
4,Cruzeiro Saf - MG,12,William,https://www.cbf.com.br/futebol-brasileiro/atletas/309438?exercicio=2023
4,Cruzeiro Saf - MG,17,Ramiro,https://www.cbf.com.br/futebol-brasileiro/atletas/295418?exercicio=2023
4,Cruzeiro Saf - MG,23,Filipe Machado,https://www.cbf.com.br/futebol-brasileiro/atletas/383537?exercicio=2023
4,Cruzeiro Saf - MG,25,Richard,https://www.cbf.com.br/futebol-brasileiro/atletas/376786?exercicio=2023
4,Cruzeiro Saf - MG,26,Lucas Oliveira,https://www.cbf.com.br/futebol-brasileiro/atletas/349619?exercicio=2023
4,Corinthians - SP,22,Carlos,https://www.cbf.com.br/futebol-brasileiro/atletas/534596?exercicio=2023
4,Corinthians - SP,7,Maycon,https://www.cbf.com.br/futebol-brasileiro/atletas/339242?exercicio=2023
4,Corinthians - SP,34,Murillo,https://www.cbf.com.br/futebol-brasileiro/atletas/580808?exercicio=2023
4,Corinthians - SP,15,Paulinho,https://www.cbf.com.br/futebol-brasileiro/atletas/179382?exercicio=2023
4,Corinthians - SP,27,Pedrinho,https://www.cbf.com.br/futebol-brasileiro/atletas/697315?exercicio=2023
